Cate	Senti	微博原始内容
fist	nu	快来看看我见到了什么？士力架版的呢！
Product	p	这士力架的威力，真的不小啊。[din推撞]
fist learn	p	还真的蛮high的，饿货拳的存在给我一个大展拳脚的机会。
Product	p	士力架的存在，让憨豆先生的饿货拳变了风啊。[礼物]
fist learn	nu	给那些大妈们看看我的饿货拳，一定能雷倒她们。[亲亲]
Product	nu	士力架真有这么好吃吗？
Product	p	吃了士力架，一秒中变高手哟。
Product	p	每到下午四点，肚子就饿得不行。看样子也要备一点士力架了。
brand	p	看憨豆先生表演，那喜感让我居然忽略了士力架，喧宾夺主了。
Product	p	想要给自己加血，偷偷的告诉你，来根儿士力架吧！
fist learn	p	//@正常人办不出这种事儿: 卧槽，这个憨豆饿货拳好牛逼，赶紧学会了，占领广场！
other	nu	怎么能就我看到呢？转//@正常人办不出这种事儿:卧槽，这个憨豆饿货拳好牛逼，赶紧学会了，占领广场！
fist learn	nu	这，这，这。。。。//@正常人办不出这种事儿: 卧槽，这个憨豆饿货拳好牛逼，赶紧学会了，占领广场！
fist learn	nu	//@正常人办不出这种事儿: 卧槽，这个憨豆饿货拳好牛逼，赶紧学会了，占领广场！
fist learn	nu	//@正常人办不出这种事儿:卧槽，这个憨豆饿货拳好牛逼，赶紧学会了，占领广场！
fist learn	nu	//@正常人办不出这种事儿: 卧槽，这个憨豆饿货拳好牛逼，赶紧学会了，占领广场！
fist learn	nu	是我的海Redemption//@正常人办不出这种事儿: 卧槽，这个憨豆饿货拳好牛逼，赶紧学会了，占领广场！
fist learn	p	 //@正常人办不出这种事儿:卧槽，这个憨豆饿货拳好牛逼，赶紧学会了，占领广场！
fist learn	p	马马马[doge][doge][doge]//@正常人办不出这种事儿:卧槽，这个憨豆饿货拳好牛逼，赶紧学会了，占领广场！
Product	p	饿了就吃士力架啊。
big wei	nu	这大张伟还真的会打饿货拳
Product	p	[挤眼]果真是士力架的奉献
Product	p	吃士力架的男人，就是最有力量的男人
Product	p	士力架的能量，我们都知道[moc转发]
Product	p	有了士力架，就可以爽起来
Product	p	爱上这样的士力架！！！[礼物]
Product	p	为爱出发，这也离不开士力架的支持
Product	p	真汉纸遇上士力架发威，就会更加勇往直前
Product	p	好像士力架的广告都很有创意
fist learn	p	我已经被饿货拳的舞蹈版洗脑了
product	p	没想到一条小小的士力架有那么大的魔力的呢！
brand	p	士力架很不错的
purchase	nu	还是吃了士力架就知好不好了，赶紧去超市了
Product	nu	饿了就吃士力架，我已经明白了
brand	nu	士力架这下可算是高兴了吧
brand	p	好像士力架的广告都很有创意
Product	p	没想到一条小小的士力架有那么大的魔力的呢！
purchase	nu	买回士力架还没吃，就叫老公干完了[偷乐]
brand	nu	士力架
Product	p	没想到一条小小的士力架有那么大的魔力的呢！
brand	nu	[得意地笑]士力架没吃过，怎么样？
fist	nu	这是什么节奏？还自创饿货拳
brand	p	视频播放不了啊，士力架的广告都很搞。
big wei	p	可能以后我看到士力架就会想到了大张伟了
fist	ne	真是的，用得着这么夸张吗？[炸鸡和啤酒]不就一士力架吗
Product	p	饿了就吃士力架，我已经明白了
Product	p	我挺喜欢吃士力架的，挺解饿的
Product	p	没吃时倍儿饿，吃完士力架就倍儿爽的[江南style]
fist learn	nu	 //@小兔子奶奶R: //@扒皮王:也是醉了，已被洗脑，士力架也是蛮拼的。  //@韩饭桶:终于有属于吃货自己的歌了，已被士力架神曲《倍儿饿》洗脑！
fist learn	nu	 //@扒皮王:也是醉了，已被洗脑，士力架也是蛮拼的。  //@韩饭桶:终于有属于吃货自己的歌了，已被士力架神曲《倍儿饿》洗脑！
fist learn	nu	//@士力架中国: 大张伟真的模仿了#憨豆饿货拳#！已经被饿货拳的舞蹈版洗脑了！听了《倍儿饿》后也完全忘记了原曲怎么唱，饿货们也有属于自己的神曲了！
other	nu	[偷笑]不知道憨豆吃完士力架后的表情怎样？
Product	nu	靠士力架回血真的会靠谱吗[给力]
Product	p	吃了士力架，一秒中变高手哟。
Product	p	有了士力架，我的地盘当然由我说了算
Product	p	看样子，玩游戏还得吃士力架才能充满力量。
Product	p	高手对决，原来还是需要士力架！
Product	p	UP主你出来！我要和你决斗！刷东方刷出来东方士力架要笑尿了好吗！憨豆版灵梦是怎么回事！头上蝴蝶结居然还意外有点萌萌哒？摔！更可怕的是我居然还坚持看完了！还能不能好了妈蛋！#憨豆饿货拳#http://t.cn/RhLACbV
fist	nu	完了，憨豆在上海和大妈跳了广场舞后，广场舞大妈也追赶上了英伦风！凤凰传奇的早不跳了，小苹果也听腻了，现在的大妈们一边放着士力架神曲《倍儿饿》 ，一边打着#憨豆饿货拳#。我国的广场舞已经走上妖魔化的不归路！http://t.cn/RhUNpnD
fist	p	#憨豆饿货拳#中国大妈逆袭了！别再说大妈只会放着凤凰传奇、小苹果之类跳广场舞了，现在的大妈比你都潮！伴着士力架最新神曲《倍儿饿》，跳着憨豆刚发明的饿货拳，那画面太美！http://t.cn/RhUNpnD
fist funny	p	#憨豆饿货拳#一开始点开还在吐槽：多老的ED了结果后来竟然发现四肢已经跟着动起来了简直是魔性！看完3遍我发现我已经能跟着爱杀宝贝跳饿货拳了！士力架你还我节操！http://t.cn/RhUNTds
fist funny	p	必须得说：士力架每次的广告创意都很吊！这次也不例外！在这支60s的士力架全新广告完整版中，憨豆先生的演技和广告剧情都得到了很完整传神的体现！比起之前的林黛玉版韩剧欧巴版和唐僧版，憨豆先生让这次的广告多了一层惊喜！非常棒！.
fist funny	p	无法直视这个饿货UP主，今天有吃士力架么！好好对待我的东方我们还是好朋友！这种憨豆饿货拳版的真心无言以对，对于你们这样的恶劣行为，我只想说，求！梁！逸！！峰！版！http://t.cn/RhLACbV
fist funny	p	#憨豆饿货拳#憨豆给士力架原创的饿货拳到大张伟这里搭配了神曲《倍儿饿》简直就是双倍洗脑，原唱是什么来着！！！！快告诉我！！！我已经放弃抵抗了http://t.cn/RhyJpQt
Product	p	英国顶尖传统攀岩者James McHaffie在一日之内独自攀爬了英国湖区（Lake Distrcit）100条E1及以上难度路线。。。期间只吃一个三明治。。三明治里是放士力架的吧。。。。
brand	p	士力架料理又有新创意喽~，这次搭配了新鲜的苹果，浓郁的巧克力混合了苹果的清脆果香，口味十分独特~！想尝尝吗？#深夜发吃#
Product	nu	士力架还有这功效？
other	nu	如果你出门旅游，把心爱的汪星人寄养在你的朋友家，是不是总怕朋友忘了给它喂食？给它穿件士力架T恤，提醒朋友别让它变饿货！
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
Product	p	生活如此简单，why so serious? 来条士力架，像 Joker 一样笑对生活！
other	nu	分享@用户5198358653 的MV一饿就虚了 横扫饥饿 做回自己 士力架 真来劲 快来看看>> http://t.cn/RhbNkma（通过 #美拍# 录制）
Product	p	士力架吃一口就会有非凡的力量，脉动喝一口就会有不一样的体验，如果你要问我怎么能彰显男人魅力，那我说只有靠它了       http://t.cn/Rh4FHpD
other	nu	找个产品的一系列广告做分析，竟然发现避不开柯某某[笑cry][笑cry]士力架都有人抢[汗][汗][汗]就在我觉得略奇葩的时候，竟然有人下手了
fist learn	p	看完这支名字叫做#憨豆饿货拳#的歌舞视频，感觉未来三年广场都不用准备其他舞蹈了！真朋克大张伟+喜剧之父憨豆先生+四大神曲+精神污染Doge +饿货拳+士力架 简直是大妈最爱，无人能敌啊！http://t.cn/RhLw33U
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
Product	p	吃完宵夜后再吃士力架的感觉妙不可言[doge]
purchase	p	好想来块士力架啊饿货
Product	p	调酒师问我 对月初的概念是怎样 想了一下告诉他是又要交月租了 但是心里第一反应是 小苹果又要士力架了 http://t.cn/z8A4EC4
other	nu	二货！来条士力架…@ZhangCm-
other	ne	班主任请的，和士力架差不多，不过代言人就不怎么样了。。。。SJ的 
product	nu	来看看我拍的MV：饿货，来块士力架，点此播放>>http://t.cn/RhLxKqW（通过 #美拍# 录制）
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
purchase	p	睡午觉到这个点，四点多的时候我哥打电话问我要不要吃冰淇淋，被我稀里糊涂的拒绝。现在醒了，特别想吃士力架
Product	p	饥饿的时候 跟我一起念：士力架的力量！make up ！
fist funny	p	#憨豆饿货拳#挺逗乐 http://t.cn/RPDQK6t
purchase	nu	一下班就下雨-----来根士力架吧。
fist	nu	@咕噜咕噜绿豆鲨 『东方士力架 - AcFun弹幕视频网 - 中国宅文化基地』http://t.cn/RhLACbV
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
other	nu	我这种人就应该常备士力架…………
Product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
funny	p	我在看【视频：士力架2013最新广告 饿货唐僧来了！】：笑死我了。！！！！！！！！！！！！！！！！！！！！！！！！！1111 http://t.cn/zQiC0rD （分享自 @优酷网）
fist	ne	剛剛看到優酷網播放士力架的廣告，我給的評論是:設計師一定是腦殘了。
purchase	p	那些士力架的模仿者[弱]要买就买正品http://t.cn/RvxvFVz 
Product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
Product	p	我不爱吃巧克力，也讨厌吃花生，但是我喜欢吃士力架[doge]。
Product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
Product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
Product	ne	饿货快来条士力架吧～～～你他妈逗我，根本不解饿，还是虚…… http://t.cn/Rh2uKfM
purchase	p	觉得还是刚刚军训那段时间电影又真实你说给我买的糖吃完以后盒子要留着因为太漂亮后来我一个人去逛超市提着面包可乐士力架啤酒和帮你买好的火车票到你楼下你说已经洗完澡不想下来了后来我一个人在小篮球场喝完了所有的酒然后打电话给高中同学说我心情不好她让我不要犯傻了我只对她说我真的好孤独
other	nu	【布朗尼】预热烤箱至180度，准备一个17*26大小烤盘铺上烘培纸；将黄油、红糖、巧克力和士力架一同放入一个小锅内，小火加热至全部融化；将锅从炉子上移开，然后放入鸡蛋；混合面粉和烘焙粉，然后将锅中的混合物倒入；以上混合后放入核桃仁，混合；将以上倒入烤盘，烤箱烤25-35分钟；烤好冷却，切块。
other	nu	每天加班加点，饿了吃一块士力架，困了10点前睡觉，这，是我最近的生活！[偷笑][偷笑]
other	nu	大姨妈期间我就是一个甜食战斗机，平时咬一口都要喝水的士力架一口气吃两条不喘气，不想吃饭，随时随地只想吃蛋糕甜甜圈
brand	nu	来一颗士力架吧
Product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
bean	p	憨豆饿货拳 好可爱的老憨豆先生~~ http://t.cn/RPjZMub 
Product	ne	好不容易瘦三斤～这会儿饥肠辘辘，晚饭我其实还吃的糯米饭～要不来个士力架吧～好吧，被自己能吃气晕
brand	p	所有广告中给我印象最深的还是旺旺、肯德基、士力架的广告，其他的基本脑海里没什么印象····可能是比较夸张、有趣、新颖吧···
Product	p	高三第一天明显感觉脑子不够用啊。。。。[困][顶]快给我炫迈！！！士力架也行！！
Product	p	士力架好好次
Product	p	饿货，我的士力架呢！手都软了！[悲催] http://t.cn/Rh2MYfE
Product	p	士力架，横扫饥饿、做回自己[馋嘴][馋嘴][馋嘴] http://t.cn/RhAHjci
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
Product	ne	小1班的娃儿我来了我是你们的黄老师你们的牙齿能吃动士力架吗 [泪流满面] http://t.cn/RhAoxzE
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
bean	p	憨豆真逗～【视频：2014士力架全新憨豆饿货拳大片】 （分享自 @优酷） http://t.cn/RPjQTEl 
Product	p	精神好很多了。感谢陪在我身边的你们。但是身体症状恶化了，调整过来需要时间。恶心要吐，吃不下东西，睡不着觉是我最怕的。会好起来的不管花多少时间。最近只能靠一些功能饮料和士力架来提供能量了。晚上跑步跑起来。会好的
Product	p	走快点，你这饿货。要不要给你来条士力架！  @百思不得姐应用  http://t.cn/RhqWpT6
Product	nu	饿了么？来块士力架吧！一个长发飘飘与一个即将长发飘飘的t！哥们好久不见[悲伤]
Product	nu	所有的美食在我眼里都没有甜咸之争，只要够好吃就行，没尝试过的美味都挺馋。但是也有遗憾，不能吃花生，没劲儿了来块士力架都不成。
brand	p	如果後幾個月都沒有超越的，士力架的（憨豆先生），肯德基的（全智賢），這兩個廣告應該是最成功的了。當然士力架的羅家英版本也是相當好的，哈哈哈哈哈哈哈哈哈哈
other	nu	我们教室有老鼠 ，要死要死要死。可是我们教室还是在三楼!   我桌子里还有一桶士力架，忘了拿回家了[拜拜][拜拜][拜拜]
other	nu	两颗士力架
other	nu	中秋福利，烤鸭，月饼，士力架，提子。。。就这样进了我们几个的肚子，好有爱的集体，期待明天的宿舍小聚哦。。。
Product	p	走快点，你这饿货。要不要给你来条士力架！  @百思不得姐应用  http://t.cn/RhqWpT6
Product	p	你就是我的能量，比士力架还棒
brand	p	饿货，来条士力架！ http://t.cn/Rhq1u0V
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
Product	p	我朱老师威武啊！人家老公刚从德国回来，给我们带的好吃的，德国原装士力架哦~ http://t.cn/Rhq3mKT
Product	p	以后都不回来了！。。在学校不吃士力架的后果
Product	p	走快点，你这饿货。要不要给你来条士力架！百屎不得姐：http://t.cn/8F8oUHr
other	nu	#哇哇随手拍#M豆的碗，士力架的铁盒，一下子又出现了！[思考] http://t.cn/RPjh1Q8
purchase	nu	现在多么想来个士力架——横扫饥饿
funny	p	来看看我拍的MV：二货 来条士力架吧，点此播放>>http://t.cn/RhqLlnc（通过 #美拍# 录制）
bean	p	那个有憨豆先生的士力架广告很好看[笑cry][笑cry]
Product	p	[doge]600跑团世纪公园约跑～跑出了半马PB 谢谢首席的组织！谢谢老V的小摊大宝的黄桃小立的士力架及各路英雄的参与 http://t.cn/8kREpwv
purchase	p	带个板凳还是有用的。。现在坐下来了（_）12点就可以进去了吧。。一想到jin晚上8点半才出来我就后悔应该买盒士力架 http://t.cn/Rh4gmCe
brand	p	荷包蛋和士力架相遇了
purchase	p	来块儿士力架[doge]
brand	p	来看看我拍的MV：昨天一帮人讨论男的变女的可以去泰国，女的变男的怎么办，旁边一个悠悠的声音说，来块士力架吧，点此播放>>http://t.cn/RhqXMjb（通过 #美拍# 录制）
tf	p	#TFBOYS年代秀# #王俊凯快去演电影# #王俊凯饮食要均衡# ##王俊凯##王俊凯生日快乐# #王俊凯是唯一的神话# #王俊凯遇上士力架能量无限大# 王俊凯早上好  http://t.cn/RPTeb7a
brand	p	来看看我拍的MV：昨天和朋友讨论男的变女的可以去泰国，女的变男的怎么办。。旁边一个悠悠的声音说，来块士力架吧，点此播放>>http://t.cn/Rhqxtpn（通过 #美拍# 录制）
tf	ne	还好我不喜欢吃士力架
product	p	快来条士力架咩→_→//@金发大头小蘑菇9095:机票也掉…饿货啊
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
tf	p	#TFBOYS年代秀# #王俊凯快去演电影#  #王俊凯饮食要均衡# ##王俊凯##王俊凯生日快乐# #王俊凯是唯一的神话# #王俊凯遇上士力架能量无限大# 管他什么话题使劲刷！  http://t.cn/RPTeb7a
tf	ne	突然想起来士力架没动静了//@王俊凯后援会官博:#TFBOYS王俊凯# 啊啊啊啊啊～给我一杯忘情水[崩溃][崩溃][崩溃]
product	p	饿货，来条士力架！
product	p	刚来那几天，坐地上之前大家还垫张纸，中午带的干粮还很天真，都是些士力架、巧克力、面包、瑞士卷、火腿肠什么的。爬了两天山以后，大家都务实多了。席地而坐，啃着馒头就着榨菜海带丝，恩，屌丝气质潜移默化中～～～ http://t.cn/RhGSQud
brand	p	#两个月亮# 怎么就想到士力架的广告了 这么恐怖 这妹纸还一直想着吃 要不要搞得这么萌 @打不死的周小强2013 
product	nu	我今生吃的第一块士力架竟然是唐世宇家若芸的百日庆礼 以后看到士力架就想到老唐 还能愉快的忘记吗？[哼]
product	nu	职工估计忙着吃面包榨菜士力架呢。[哼]@北京牌姜小熊
product	p	这5天谢谢你们陪我.想家.哭泣.一起敷面膜吓宿管在宿舍我是皇上哈哈军训的时候教官还专门买了士力架给我别人没有的喔突然觉得自己很.虽然哭了...谢谢了.My love
funny	p	看了评论 有人说士力架哈哈哈哈哈//@隔壁女校小葵阿姨:三国无双甄宓那个箫！
product	p	宝宝，动作似曾相识，来份士力架吧[偷乐]
tf	nu	//@王俊凯微吧:#TFBOYS王俊凯# #王俊凯# 士力架 横扫饥饿 补充能量，和大哥一样酷，要不要来个………[害羞][哈哈] //@士力架中国:小伙子赶通告也是挺心疼的，还好吃了士力架，妈妈再也不用担心小凯的体力了~
tf	nu	//@BelovedGloryWJK荣光:#王俊凯遇上士力架能量无限大# 甜蜜士力架[好喜欢]考虑代言来一发吗[羞嗒嗒]//@士力架中国:小伙子赶通告也是挺心疼的，还好吃了士力架，妈妈再也不用担心小凯的体力了~
fist	p	少女进食中…憨豆版灵梦…不对，是灵梦版憨豆…UP主你的脑洞可以停一停了吗？是不是最近看电视上的士力架广告看多了？！用饿货拳来决斗，吃士力架回血也是很可以嘛…不过我的疑问是：西洋饿货明明应该是幽幽子sama！#憨豆饿货拳# http://t.cn/RhLACbV  13925084650
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
product	p	嗯，来劲了  //@免费办理平壤户口非诚勿扰:这孩子，饿货来条士力架 //【偷吃月饼后放回空盒子 小伙弄虚作假只为奶奶不担心】http://t.cn/RhGAMww (分享自 @今日头条)
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
other	nu	韩国进口，锦大MA巧克力棒。吃起来感觉有点像士力架的感觉，不过没士力架那么甜，而且巧克力棒中间的夹心吃起来真的不知道怎么形容，酥酥的，很想再咬一口。平时在包里放一个，真的可以抵挡饥饿噢！ http://t.cn/RPg90rw
tf	p	//@TF天涯姐姐团: 代言看过来[来] //@玨玺共和国秘书掌:给三个儿子艹代言。//@逢飞必手癌的元芳阿姨_TF老年团: 代言给我看过来！！上热门其他代言看过来也行啊！求有眼力的企宣！//@士力架中国: 小伙子赶通告也是挺心疼的，还好吃了士力架，妈妈再也不用担心小凯的体力了~
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
other	nu	士力架 http://t.cn/8FEVieV
product	p	我比较推荐的补水剂，一包可以冲一瓶到两瓶，具体看天气和强度！吃的嘛，能量胶个人觉得酱油骑，非竞赛争取名次的情况下完全没必要！士力架，嚼一嚼，德福巧克力，都是很好的选择！
fist	p	停不下来了！中国大妈上头条的脚步根本停不下来！全新广场舞#憨豆饿货拳#，就这么突如其来的扑面而来。大妈们再这样作下去的话，只有随时给她们准备士力架，才能拯救她们了。http://t.cn/RhUNpnD
product	p	饿货来条士力架吧。。[泪]
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
purchase	p	状态快回来！！！要不要来块士力架！！
product	p	#论饿货球迷奇葩事#荷甲、英超、世界杯！咬遍天下无敌手的苏牙最后一次没有咬成功，大概是想起场下有更解饿的士力架在等他！[偷笑]http://t.cn/RvFrLe5  http://t.cn/RhGhlYu 
fist	p	#嘉禾轻松时刻#士力架的广告已经彻底被你们玩儿坏了，这只《爱杀宝贝》版绝对是继东方版饿货拳之后有一神经病力作，BGM太魔性我已经无法控制自己了，动词大慈~动词大慈~   http://t.cn/RhUNTds
brand	p	石头哥哥的逆袭生涯 ，其实真不怕队友坑 只怕他坑还觉得自己是大神 逆天的石头人 带领4个二货队友强吃士力架 逆天翻盘局~~~~哈哈
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
fist	p	简直厉害 //@我的朋友是个呆B:已经忘了原词儿是啥了 [拜拜]，士力架的广告也是蛮拼的 //@我爱的人他姓大:噗 哈哈哈
big wei	p	吃了士力架的张伟
brand	nu	為毛我想起了士力架→_→//@矢泽便当:[悼念乔布斯]霸王广告是这么说的，首乌 人参 焦糖 巧克力//@隐鳖青年卡尔马: 心疼。
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
purchase	p	晚安一直爱你  好梦。明早吃饱饱了 买点士力架
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
brand	p	这是士力架吧， //@村长不是坑哟:@妄想却不行动的黄新雨同学     这个
brand	nu	不同国家的#士力架#
brand	p	哈哈哈哈最后一个可以去拍士力架//@美图秀秀: 哈哈哈，看到最后一个美老师也是醉了！[嘻嘻]
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
fist funny	p	哈哈哈哈哈哈哈 #憨豆饿货拳# （分享自 @搜狐视频） http://t.cn/RPWfKpd 
other	nu	第二张好像狗哈哈哈哈//@脱饭才是出路_夹子囧囧:2货！来个士力架吧！[噢耶]
purchase	p	快来条士力架吧
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
product	p	饿货，来条士力架吧！一饿就手软
product	ne	吃了一整条士力架居然没有觉得甜的腻人，味觉错乱了！！！
brand	nu	榨菜不错//@逸逸风风: 我们祝福都没有[泪] //@猴山CEO:@周小lui儿 真的呀？ //@北京人捍卫北京城:＂你怎么连门都守不住？＂＂你行你来呀！＂＂饿货，来条士力架！＂
product	p	要因为士力架里面有大量坚果仁就把坚果与高热量划等号，其实正确食用坚果是能够帮助你减肥的哦！坚果含有丰富的蛋白质、纤维素和大量的微量元素，并且非常容易有饱腹感。早上10点和下午3点两个能量低点时候食用适量的坚果，既能解决你的饥饿感，又能补充能量，最重要的是，还不会长胖哦！
fist	nu	#憨豆饿货拳#都可以比划这个抗议  http://t.cn/RPD90qi
fist	nu	【视频：憨豆饿货拳】 （分享自 @优酷） http://t.cn/RPQ7lUw 
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
product	p	@少侠你的刀磨好了 来根士力架吧！
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
brand	p	 //@痴汉虫子不爬墙:士力架，横扫饥饿；双下巴，横扫天下！(••)//@我素真爱鹿:转发微博
product	p	你妈肯定忘了给你吃一块士力架……[哈哈]
tf	ne	哈哈哈[拜拜][拜拜][拜拜]//@沉城城:这个好棒_(:」)_//@大大大大大大雄卷: 哈哈哈，士力架不考虑下大哥么！
fist	p	//@士力架中国:大张伟真的模仿了#憨豆饿货拳#！已经被饿货拳的舞蹈版洗脑了！听了《倍儿饿》后也完全忘记了原曲怎么唱，饿货们也有属于自己的神曲了！
product	nu	终于不用出差了(暂时)，这两月东南西北到处跑，嗮的跟条士力架一样。心塞。。 9月目标： 1.驾照 2.小樱、小叶子的粘土2套图 3.送自己生日礼物-剑雪一家~还有呆呆没有正规拍过那套白色的明信片 4.FF14猫猫，J3唐门，萨满画 5.准备10.1的漫展，我这阿姨级别的要不要去COS一把呢 6.看一下普妹和SOOM家ID
product	ne	终于试了一块士力架，齁甜。真不明白为什么各大超市交钱的地方都摆这个。
brand	nu	突然想到了士力架的广告，脉动这个更狠
product	p	虽然不赞同，但是仍帮你买好车票，准备好矿泉水士力架纸巾和药，并把你送到车站 ，嘱咐一番像你从未出过门，这个人就是老公。 http://t.cn/Rh4NRKv
product	ne	哈哈，在你那儿连续4天吃巧克力和士力架终于涨了1.6斤。90斤加油[哈哈][哈哈]PS.凌晨突然醒来好想你给你发了一大堆消息。[泪] http://t.cn/Rh407LE
product	nu	看到你上课撑着撑着不睡觉，看到了你想看大学的决心，晚自习认真写作业，真的为你高兴，士力架都快吃完了，想拿它找你搭话，却迟迟不敢，怕你不理我，怕你。。。。。。
purchase	p	又六点起！感觉我浑身充满能量，要喷火~快给我来根士力架！[哈哈][哈哈][哈哈]
product	p	#中秋#节快到了啊，德芙百威士力架，海苔饼干上好佳。[爱你][爱你][爱你]不求最贵但求吃到累。 该送就送，不要不好意思啦，拯救我这颗饿脱了相的可怜心灵吧[悲伤][悲伤][悲伤] http://t.cn/z8236ZN
fist	p	#互动案例#@士力架中国 饿货憨豆拳 活动网站
product	nu	午饭：红烧鱼，长杠头，米饭一些，三个红烧鸭爪，一块健达缤纷乐，一块士力架，
brand	p	宝贝，来条士力架吧[马上有对象][马上有对象][马上有对象][马上有对象]
purchase	p	买了两块士力架[偷笑]@L_X_D9
brand	p	妹妹，你需要士力架吗？碗的分量真的好凸显哟，笑死我了北鼻[笑cry][笑cry][笑cry]
